NAME,amplitude,gamma,err cycle
DRAA,2.554497006536493,1.2448917964921449,3.3894750840887773
NARMADA,114.39007828236531,14.041707134314073,20.729215876333054
LA GRANDE,22.319838410596653,2.2257120942104245,12.621716302898525
RHONE,44.66034119514157,3.0285555613478086,19.565942845428747
DOURO,34.940725914817094,2.4708759283900115,18.22344663690537
BANDAMA,66.1882294640623,9.59034017585591,15.375236646741957
VICTORIA,68.50913916439991,3.130907656852235,30.92126998519043
SEVERN,20.45549751500441,2.0482685333880033,11.749744223845836
SAVE,41.74762599287669,2.3441539722961933,20.918766677781015
HAYES,11.292542222072642,1.8389350790829047,7.274341810645217
MOOSE,30.884055444302987,3.9634865023765196,12.315674699424573
FLINDERS,28.10156311492012,1.87993533715288,17.103551597279807
LAKE TURKANA,28.80813578310346,2.8016389364556322,14.128608641169022
KUNENE,30.982978678815382,3.1188680617614684,13.254164295501699
COLORADO,11.78433858182214,1.4657352375926396,11.969857850420988
PUR,57.316421910035416,7.400334844813265,14.674627207278245
MOBILE RIVER,56.729788123477896,2.8632787694140993,26.994420647700903
LAKE GAIRDNER,3.6366055071726047,1.29585901125911,3.7262079492960836
RHARSA,2.4909427878043315,1.2344147104318046,3.2062265842105435
LOIRE,34.52330729788187,2.456626529009972,18.22444902407806
BRAZOS,21.87581486587394,1.6962684949770428,17.730645724317345
ODER,26.142446172639936,2.743967892737127,13.561663189947861
HAMUN-I-MASHKEL,3.4919776491272585,1.348500353789715,3.7723105602580635
ABHE BAD,27.102603877571426,4.432309780676109,8.941240719891407
GUIR,3.9200351244557528,1.3951940404415402,3.926065459143179
KUSKOKWIM,30.708762262051003,3.3621577946951042,12.430611612026091
USUMACINTA,83.84894492422617,4.152965317375641,33.94240780874397
MAR CHIQUITA,6.551314307437593,1.1992125144989219,10.0817138550706
BURDEKIN,23.901795437732588,1.634908332644976,16.89181698995654
SANAGA,100.77567918707244,12.642580869904407,20.97192878514659
SANTIAGO,57.953669737181414,7.277796993618019,16.713066949632264
SARYSU,21.01884417142082,5.367587793462785,6.667231882503923
ALBANY,33.564761488767516,3.952505390870407,13.225988157341268
MAHANADI,142.3363619842031,17.548800530009515,22.503673631116303
CANIAPISCAU,32.39275125251718,2.61924313163809,14.598453434335667
NEGRO,47.440912592339615,4.123416801614084,17.577871663453564
GREAT SALT LAKE,34.44549231001682,6.124691539825765,10.245956128008688
CHUBUT,24.64018956533708,3.39180286410519,9.921868115520018
ELBE,24.03868400829884,2.5413249489535032,13.71329794968236
RED,63.155138162246324,6.952036280424196,17.990195304892307
FITZROY,8.780679088999477,1.1316233270517582,14.703955982079798
TITICACA,35.80484837569381,7.497050598007733,9.899127828216733
MELRHIR,2.7528906159751196,1.2882593838893153,3.052768908511303
CUANZA,71.30238922812603,6.795177240440878,19.30173181801192
TAZ,71.1443061119455,7.789407708800247,16.746848050749097
CHUY,20.3256947580778,4.826115818980895,7.534265757422622
CHAO PHRAYA,106.88324999414996,9.274929815092305,26.1642746350215
RHINE,36.80314056837642,3.354165486871701,16.726351244986162
RUVUMA,110.95726210693186,9.57341701385605,24.976023368489443
PYASINA,72.2649696637052,6.591325337609329,19.596471710518816
HUAI HE,21.866321451376777,1.8236860301112514,14.867816903681279
ANADYR,61.19946946794572,7.013743208193436,14.225313865712673
CUVELAI,36.585583565250005,2.9370180665668904,16.303130041344517
KURA,33.18127834758013,3.964101792286848,13.588629397295188
VISTULA,24.309424840689886,3.2597709075789782,11.894326161899022
RUFIJI,49.93213341474717,4.848656408469959,19.21579321378344
URAL,32.3980263855528,4.939506613066864,12.255217666105423
OGOOUE,77.17175416960103,8.766624078334408,15.606064306570099
YONGDING HE,16.306290263180856,1.9023745106423606,10.425827507469084
OLENEK,33.10495577863549,6.953510411682996,8.512919149297005
LIAO HE,16.89086834768646,1.8293377960295485,8.812689363225088
HAR US NUUR,5.012245143086393,1.8889183400859921,3.5919280719971503
FRASER,101.96031925698023,10.75772458747429,22.816458696182753
YANA,26.31287691450173,4.5957868083086195,8.630169529174369
THELON,25.081819134512884,3.658402429229541,9.801825280056562
THORGAY,19.70815060098041,4.577367198743919,7.124428859269279
KRISHNA,99.60850937450797,12.827251451011481,19.519177087106943
MAGDALENA,65.4504995214588,5.230052834825528,19.014364043433137
URUGUAY,23.485768445322556,1.3482609847712725,25.899761519377666
SALWEEN,82.98655808992848,11.775032419825665,17.484368937533116
NEVA,26.64912280056351,2.735092979988179,14.164078319021524
KHATANGA,38.81521549495787,7.765390988168115,9.615552258734715
CHURCHILL,12.003838885963859,2.069536531967019,7.487834148127769
GODAVARI,111.14434859635307,14.180077447688223,20.223199294083873
PECHORA,62.792329602039835,8.427930146303366,14.474905212265318
SEVERNAYA DVINA,53.334379830117825,10.22584378679805,11.880211510406909
PARNAIBA,67.3608119843068,3.1389450391189575,31.461137343546728
INDIGIRKA,18.274277603116257,4.344251885651631,6.441501537514985
HAMUN,13.064845471980366,3.0958432890916194,6.073866987594225
COLORADO (South America),23.14238684113832,2.297425238434878,12.549966814626703
ZHU,36.05570768832155,2.9181948734507404,17.222031714565805
LIMPOPO,20.738400099472685,1.9141035650999683,13.52984498655623
VOLTA,62.96162428415866,10.658888199430352,13.144374341605445
LAKE BALKHASH,17.75916531664234,4.460218047666142,6.822687722598703
IRRAWADDY,124.02385156532179,11.726732079397713,24.188408768310563
RIO DE LA PLATA,15.459860612878026,1.3187762813167407,17.055937623236144
DON,37.92943621345471,7.613863156974044,11.204741491769957
SENEGAL,49.88175602121479,11.080822829697716,9.843372794944239
DNIEPER,34.15859715936395,5.070166803639716,12.591181533893375
BRAHMAPUTRA,76.49446315583637,12.680126545246786,14.492943035549665
SAO FRANCISCO,48.66917751343416,2.714337387400128,27.512072955942813
KOLYMA,36.55997746771749,5.834461967833883,9.506552237825272
COLORADO RIVER,19.530690252950247,3.9329192196724656,7.0861891830699175
COLUMBIA,69.95015210824482,10.207765975334626,15.013088419413096
RIO GRANDE,7.716761563705877,1.45609818802817,7.544225139145673
OKAVANGO,32.19274280151449,4.214989231594148,12.060475083517636
TOCANTINS,108.34175128204822,8.900466349258691,29.720227654823752
MEKONG,99.54088577235063,14.282562690183763,19.18018457627996
DANUBE,34.41200211897957,3.861629704378768,15.460708132342802
JUBBA,12.585968024882398,1.931096514605625,7.878293674141046
YUKON,44.52260335575579,9.306104159137206,10.013435356901592
INDUS,21.17932459868861,2.380394435078738,11.012555271417801
SHATT AL ARAB,30.628401921362858,7.434830941119089,8.96299556006838
ORINOCO,104.50989611673222,11.369126286465521,22.638957693781975
YELLOW RIVER,9.316269599010315,1.922784556086125,6.229802830537864
ORANGE,4.8493026437694,1.2203753394163472,5.962099998941011
GANGES,105.96578521440028,13.211832764429877,18.864736729899636
SAINT LAWRENCE,27.353520473830102,4.361664921530268,9.956164428918981
MURRAY,11.970856816122915,1.4842179794581851,10.224148441904376
NELSON,19.754778690642965,3.1103448180386417,8.895811079034688
LAKE EYRE,7.131772372907372,1.3458658262903072,7.62160437056341
ZAMBEZI,82.07190888205596,11.772871009444941,16.887477186969168
VOLGA,37.41626199827884,6.7654601523986,11.461847297220624
